
Parameters:
ALLOW_SOFT_PLACEMENT=True
BATCH_SIZE=64
CHECKPOINT_EVERY=100
DEV_SAMPLE_PERCENTAGE=0.1
DROPOUT_KEEP_PROB=0.5
EMBEDDING_DIM=128
EVALUATE_EVERY=100
FILTER_SIZES=2,3,4,5,6
L2_REG_LAMBDA=0.0
LOG_DEVICE_PLACEMENT=False
NEGATIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.neg
NUM_CHECKPOINTS=5
NUM_EPOCHS=200
NUM_FILTERS=128
POSITIVE_DATA_FILE=./data/rt-polaritydata/rt-polarity.pos

Loading data...
636 max_document
(10002, 636)
Train/Dev split: 9002/1000
Number of Class: 3
Writing to /home/g/grad/xinhao/IE_Project/runs/1494194564

2017-05-07T18:20:37.741474: step 313, loss 0.828402, acc 0.65625
2017-05-07T18:20:41.044650: step 314, loss 0.815458, acc 0.6875
2017-05-07T18:20:44.276063: step 315, loss 0.865787, acc 0.640625
2017-05-07T18:20:47.511960: step 316, loss 0.730532, acc 0.703125
2017-05-07T18:20:50.775193: step 317, loss 0.908641, acc 0.5625
2017-05-07T18:20:54.034163: step 318, loss 0.610355, acc 0.75
2017-05-07T18:20:57.291858: step 319, loss 0.568629, acc 0.84375
2017-05-07T18:21:00.533364: step 320, loss 0.599062, acc 0.765625
2017-05-07T18:21:03.814549: step 321, loss 0.88457, acc 0.59375
2017-05-07T18:21:07.036145: step 322, loss 0.625476, acc 0.671875
2017-05-07T18:21:10.240015: step 323, loss 0.767845, acc 0.65625
2017-05-07T18:21:13.486520: step 324, loss 0.868858, acc 0.609375
2017-05-07T18:21:16.727583: step 325, loss 0.720089, acc 0.703125
2017-05-07T18:21:19.968259: step 326, loss 0.720369, acc 0.734375
2017-05-07T18:21:23.220449: step 327, loss 1.03307, acc 0.640625
2017-05-07T18:21:26.445390: step 328, loss 0.644127, acc 0.734375
2017-05-07T18:21:29.660046: step 329, loss 0.724406, acc 0.703125
2017-05-07T18:21:32.938158: step 330, loss 0.878069, acc 0.578125
2017-05-07T18:21:36.180281: step 331, loss 0.716042, acc 0.65625
2017-05-07T18:21:39.437076: step 332, loss 0.684066, acc 0.78125
2017-05-07T18:21:42.767551: step 333, loss 0.651759, acc 0.78125
2017-05-07T18:21:46.017758: step 334, loss 0.849489, acc 0.703125
